                                                  at_name                                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           regexp_replace                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 UK General Election 2010: Regulation and Guidance                                                          | 
 Canada UK                                                                                                  | 
 UK General Election 2010: News and Commentary                                                              | 
 Celtic Studies                                                                                             | This is a collection of websites selected around the theme of Celtic Studies and includes websites on Celtic subjects, and/or sites providing a cultural sphere for ex-pat Celtic communities.
 Children's Websites                                                                                        | This collection of websites contains sites designed to be used by children as well as sites which deal with issues which affect children such as literacy and bullying.   
 Race, Ethnicity & Sport                                                                                    | 
 UK General Election 2005                                                                                   | Collection of Internet sites with electoral content archived during and immediately after the UK general election campaign of 2005. The collection comprises a sample of candidates campaign sites and weblogs, local and national party sites, opinion polls, news and commentary, and the manifestos of a range of interest groups.
 Isle of Man                                                                                                | 
 First World War Centenary, 2014-18                                                                         | 
 UK General Election 2010: Candidates                                                                       | 
 42 Days                                                                                                    | Collection of websites relating to the Labour government's proposals (June 2008) to increase pre-charge detention times for terror suspects from 28 to 42 days
 Lesbian, Gay, Bisexual & Trans - (LGBT) Resources                                                          | 
 Pêl Droed Cymru - Welsh Football                                                                           | 
 UK General Election 2010: Research Centres and Think Tanks                                                 | 
 Africa UK                                                                                                  | This is a representative collection of websites produced by African communities in the UK or by UK organisations with direct links to these communities and to the region. 
 Smoking Issues [NO PUBLIC ACCESS]                                                                          | This collection was created to record events surrounding, and responses to, the ban on smoking in all public places across the UK.
 UK General Election 2010: Other                                                                            | 
 Government Websites 2007 [NO PUBLIC ACCESS]                                                                | This collection consists of one-off gathers of a large number of government websites. A rationalisation process of government websites is taking place from early 2007 onwards, and these sites were archived in an effort to gather copies of sites which may change in future.
 Offshore Islands Collection (Channel Islands and Isle of Man)                                              | Isle of Man and the Channel Islands
 London Terrorist Attack 7th July 2005                                                                      | Collection of Internet sites with content about the terrorist attacks in London on July 7th 2005 begun immediately after the event. The collection comprises news and commentary, public information and support for victims and weblogs written by those who had first hand experience of the bombs.
 Digital History                                                                                            | 
 English Language                                                                                           | A collection of websites selected around the theme of English language including UK regional dialects, slang words and the development of the English language.
 Fashion                                                                                                    | Websites selected around the theme of fashion including the history of fashion, the fashion business and style blogs.
 Philately                                                                                                  | 
 UK General Election 2010: Election Blogs                                                                   | 
 Free e-Journals                                                                                            | This collection of free to access electronic journals published on the web includes the Journal of Maps UK Mirror Service, the Centre for Creative Communities and the British Geriatrics Society online newsletter. 
 Digital Lives                                                                                              | Collection of Internet sites selected to illustrate the growth of personal digital content on the WWW. As digital technology has become more accessible the individual increasingly has the means to edit, store and distribute personal material feeding a burgeoning trend for digital creativity and consumption. This collection exhibits the various forms of this output such as weblogs, articles, portfolios of work, audio and visual recordings.
 Northern Ireland                                                                                           | Collection of websites relating to Northern Ireland, a constituent country within the United Kingdom, lying in the northeast of the island of Ireland, intended to reflect a wide range of related issues such as economy, environment, culture, heritage and tourism. The collection is ongoing.
 Genetics                                                                                                   | 
